日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-07-18,688627,66.1,76.6,85.93,66.0,164038,1225759938.0,42.61,63.78,29.83,82.17
2023-07-19,688627,72.0,83.48,87.6,70.8,127892,1000967635.0,21.93,8.98,6.88,64.07
2023-07-20,688627,81.1,79.5,84.9,76.8,82007,658697146.0,9.7,-4.77,-3.98,41.08
2023-07-21,688627,78.88,78.0,83.8,75.76,74819,595448291.0,10.11,-1.89,-1.5,37.48
2023-07-24,688627,77.0,83.2,86.77,77.0,73728,606743660.0,12.53,6.67,5.2,36.93
2023-07-25,688627,85.6,83.18,86.6,76.32,66085,532911006.0,12.36,-0.02,-0.02,33.11
2023-07-26,688627,85.95,84.88,89.88,84.46,43730,378868857.0,6.52,2.04,1.7,21.91
2023-07-27,688627,82.5,82.86,86.92,81.98,31624,266240899.0,5.82,-2.38,-2.02,15.84
2023-07-28,688627,83.41,79.05,84.34,76.9,42674,339275925.0,8.98,-4.6,-3.81,21.38
2023-07-31,688627,76.88,82.1,83.35,75.5,29203,232832158.0,9.93,3.86,3.05,14.63
2023-08-01,688627,81.53,90.3,94.68,78.58,32990,285493986.0,19.61,9.99,8.2,16.53
2023-08-02,688627,87.9,101.9,108.0,87.13,40055,392577668.0,23.11,12.85,11.6,20.07
2023-08-03,688627,101.3,99.39,106.0,96.01,41366,411380482.0,9.8,-2.46,-2.51,20.72
2023-08-04,688627,98.02,96.2,98.81,94.68,32096,309195521.0,4.16,-3.21,-3.19,16.08
2023-08-07,688627,97.2,94.75,98.37,91.2,24700,233802353.0,7.45,-1.51,-1.45,12.37
2023-08-08,688627,93.79,89.61,94.99,89.0,27846,255560931.0,6.32,-5.42,-5.14,13.95
2023-08-09,688627,89.0,85.0,89.9,82.88,37516,321063880.0,7.83,-5.14,-4.61,18.79
2023-08-10,688627,83.98,89.07,90.6,83.98,31446,276647771.0,7.79,4.79,4.07,15.75
2023-08-11,688627,87.94,86.29,90.45,85.08,19991,174903496.0,6.03,-3.12,-2.78,10.01
2023-08-14,688627,86.0,85.0,86.7,83.37,13496,115052511.0,3.86,-1.49,-1.29,6.76
2023-08-15,688627,87.1,83.0,88.83,82.06,15088,129028322.0,7.96,-2.35,-2.0,7.56
2023-08-16,688627,82.4,80.33,84.0,79.87,16798,136802528.0,4.98,-3.22,-2.67,8.42
2023-08-17,688627,80.0,81.9,83.69,79.96,17673,144897201.0,4.64,1.95,1.57,8.85
2023-08-18,688627,84.3,84.91,88.35,84.3,23271,201147718.0,4.95,3.68,3.01,11.66
2023-08-21,688627,84.17,83.04,86.29,82.0,13634,113843199.0,5.05,-2.2,-1.87,6.83
2023-08-22,688627,83.04,85.1,85.3,80.02,14238,118375013.0,6.36,2.48,2.06,7.13
2023-08-23,688627,83.36,78.74,83.36,78.0,15472,123871873.0,6.3,-7.47,-6.36,7.75
2023-08-24,688627,79.5,83.2,85.33,76.7,15758,128978506.0,10.96,5.66,4.46,7.89
2023-08-25,688627,81.21,77.33,83.7,75.04,14325,113021953.0,10.41,-7.06,-5.87,7.18
2023-08-28,688627,81.9,75.99,82.9,74.27,18091,141098579.0,11.16,-1.73,-1.34,9.06
2023-08-29,688627,74.63,81.6,81.98,73.99,27791,218494235.0,10.51,7.38,5.61,13.92
2023-08-30,688627,81.8,83.01,87.9,81.8,31249,264110425.0,7.48,1.73,1.41,15.65
2023-08-31,688627,82.0,87.5,88.27,80.25,28728,245954802.0,9.66,5.41,4.49,14.39
2023-09-01,688627,88.0,88.68,96.32,87.53,37846,347056209.0,10.05,1.35,1.18,18.96
2023-09-04,688627,89.15,89.9,90.9,85.35,23767,208870972.0,6.26,1.38,1.22,11.91
2023-09-05,688627,89.0,90.2,92.28,88.23,19180,172580984.0,4.51,0.33,0.3,9.61
2023-09-06,688627,88.22,91.86,92.7,88.22,14077,128062488.0,4.97,1.84,1.66,7.05
2023-09-07,688627,90.35,88.2,90.8,86.0,12779,113189837.0,5.23,-3.98,-3.66,6.4
2023-09-08,688627,89.47,92.1,94.62,87.0,18635,170978253.0,8.64,4.42,3.9,9.34
2023-09-11,688627,91.46,90.96,91.5,88.18,12967,116159020.0,3.6,-1.24,-1.14,6.5
2023-09-12,688627,89.58,87.2,92.0,86.61,11054,98621487.0,5.93,-4.13,-3.76,5.54
2023-09-13,688627,87.11,88.6,89.8,86.0,9389,82836602.0,4.36,1.61,1.4,4.7
2023-09-14,688627,87.74,86.1,87.74,84.87,8865,76477429.0,3.24,-2.82,-2.5,4.44
2023-09-15,688627,86.3,85.45,87.3,83.08,6423,54419487.0,4.9,-0.75,-0.65,3.22
2023-09-18,688627,84.28,82.95,86.12,82.6,5676,47622344.0,4.12,-2.93,-2.5,2.84
2023-09-19,688627,82.4,81.08,83.57,80.42,6398,52405473.0,3.8,-2.25,-1.87,3.2
2023-09-20,688627,80.03,80.26,82.9,79.88,3446,27919589.0,3.72,-1.01,-0.82,1.73
2023-09-21,688627,79.61,80.06,81.23,79.0,3053,24467513.0,2.78,-0.25,-0.2,1.53
2023-09-22,688627,79.91,82.1,82.21,79.26,5421,43900146.0,3.68,2.55,2.04,2.72
2023-09-25,688627,82.13,82.33,83.66,80.18,6655,54766161.0,4.24,0.28,0.23,3.33
2023-09-26,688627,81.35,81.47,83.28,80.73,3939,32208762.0,3.1,-1.04,-0.86,1.97
2023-09-27,688627,80.88,82.5,84.68,79.78,5513,45404614.0,6.01,1.26,1.03,2.76
2023-09-28,688627,83.9,90.28,92.0,82.53,14160,124266741.0,11.48,9.43,7.78,7.09
2023-10-09,688627,89.0,89.8,91.36,87.8,5269,46952530.0,3.94,-0.53,-0.48,2.64
2023-10-10,688627,89.9,87.74,91.67,87.3,7381,65500611.0,4.87,-2.29,-2.06,3.7
2023-10-11,688627,88.0,88.35,90.2,85.93,5655,49776650.0,4.87,0.7,0.61,2.83
2023-10-12,688627,88.5,95.8,95.87,86.38,13981,127502270.0,10.74,8.43,7.45,7.0
2023-10-13,688627,93.0,94.5,96.61,93.0,7434,70300439.0,3.77,-1.36,-1.3,3.72
2023-10-16,688627,93.79,91.08,93.79,90.42,6513,59864775.0,3.57,-3.62,-3.42,3.26
2023-10-17,688627,91.88,91.5,91.94,89.0,5037,45587129.0,3.23,0.46,0.42,2.52
2023-10-18,688627,91.0,92.21,93.97,90.86,7173,66189779.0,3.4,0.78,0.71,3.59
2023-10-19,688627,91.05,90.66,94.39,90.49,4413,40741419.0,4.23,-1.68,-1.55,2.21
2023-10-20,688627,89.06,88.06,91.19,87.1,6535,57985626.0,4.51,-2.87,-2.6,3.27
