code,xtp_prefix,rows,first_date,last_date,file,blocks
000962,33,6093,2000-01-20,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\000962.csv,钽电容
603678,17,2752,2015-01-26,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603678.csv,钽电容|MLCC电容
002138,33,4595,2007-06-13,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002138.csv,钽电容
300726,33,2080,2017-11-21,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300726.csv,钽电容
000733,33,6945,1997-07-03,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\000733.csv,钽电容
300054,33,3833,2010-02-11,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300054.csv,HBM相关材料|存储及周边
603186,17,2295,2017-01-03,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603186.csv,HBM相关材料|PCB电路板
688535,17,766,2023-04-04,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688535.csv,HBM相关材料|存储及周边|材料
300666,33,2167,2017-06-15,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300666.csv,HBM相关材料|长江上下游|材料
688019,17,1675,2019-07-22,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688019.csv,HBM相关材料|长江上下游|材料
603256,17,1676,2019-07-19,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603256.csv,HBM相关材料
688519,17,1413,2020-08-18,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688519.csv,HBM相关材料
600183,17,6612,1998-10-28,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600183.csv,HBM相关材料
002436,33,3724,2010-06-18,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002436.csv,HBM相关材料|HBF近存|存储及周边|昇腾链
002916,33,2062,2017-12-13,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002916.csv,HBM相关材料|PCB电路板
300236,33,3597,2011-06-29,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300236.csv,HBM相关材料|材料|AI推荐
688300,17,1597,2019-11-15,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688300.csv,HBM相关材料|存储及周边
301217,33,1061,2022-01-27,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\301217.csv,HBM相关材料|PCB电路板
605589,17,1175,2021-08-10,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\605589.csv,HBM相关材料
601208,17,3654,2011-05-20,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\601208.csv,HBM相关材料
300395,33,2859,2014-09-10,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300395.csv,HBM相关材料|PCB电路板
600584,17,5288,2003-06-03,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\600584.csv,异构件堆叠|封测行业
000021,33,7747,1994-02-02,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\000021.csv,异构件堆叠|HBF近存|长鑫上下游|存储及周边|封测行业
688401,17,928,2022-08-17,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688401.csv,异构件堆叠
002156,33,4465,2007-08-16,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002156.csv,异构件堆叠|HBF近存|长江上下游|封测行业
688362,17,869,2022-11-16,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688362.csv,异构件堆叠|封测行业
002185,33,4477,2007-11-20,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002185.csv,异构件堆叠|封测行业
688820,17,40,2026-04-21,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688820.csv,异构件堆叠|封测行业
002409,33,3597,2010-05-25,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002409.csv,HBF近存|长江上下游|长鑫上下游|存储及周边|材料|三星海力合作
603283,17,2050,2017-12-25,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603283.csv,HBF近存
688733,17,1170,2021-08-17,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\688733.csv,HBF近存
300476,33,2672,2015-06-11,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\300476.csv,PCB电路板
002938,33,1876,2018-09-18,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002938.csv,PCB电路板|人形机器人
002384,33,3720,2010-04-09,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\002384.csv,PCB电路板|光模块
603002,17,3395,2012-05-18,2026-06-18,C:\Users\Administrator\Desktop\gu\akshare_xtp_daily_20260618\daily_csv\603002.csv,PCB电路板
