code,xtp_prefix,blocks
000962,33,钽电容
603678,17,钽电容|MLCC电容
002138,33,钽电容
300726,33,钽电容
000733,33,钽电容
300054,33,HBM相关材料|存储及周边
603186,17,HBM相关材料|PCB电路板
688535,17,HBM相关材料|存储及周边|材料
300666,33,HBM相关材料|长江上下游|材料
688019,17,HBM相关材料|长江上下游|材料
603256,17,HBM相关材料
688519,17,HBM相关材料
600183,17,HBM相关材料
002436,33,HBM相关材料|HBF近存|存储及周边|昇腾链
002916,33,HBM相关材料|PCB电路板
300236,33,HBM相关材料|材料|AI推荐
688300,17,HBM相关材料|存储及周边
301217,33,HBM相关材料|PCB电路板
605589,17,HBM相关材料
601208,17,HBM相关材料
300395,33,HBM相关材料|PCB电路板
600584,17,异构件堆叠|封测行业
000021,33,异构件堆叠|HBF近存|长鑫上下游|存储及周边|封测行业
688401,17,异构件堆叠
002156,33,异构件堆叠|HBF近存|长江上下游|封测行业
688362,17,异构件堆叠|封测行业
002185,33,异构件堆叠|封测行业
688820,17,异构件堆叠|封测行业
002409,33,HBF近存|长江上下游|长鑫上下游|存储及周边|材料|三星海力合作
603283,17,HBF近存
688733,17,HBF近存
300476,33,PCB电路板
002938,33,PCB电路板|人形机器人
002384,33,PCB电路板|光模块
603002,17,PCB电路板
600601,17,PCB电路板
603688,17,PCB电路板
002080,33,PCB电路板
300196,33,PCB电路板
300739,33,PCB电路板
002463,33,PCB电路板
603228,17,PCB电路板
688183,17,PCB电路板
000636,33,MLCC电容
688260,17,MLCC电容
300806,33,MLCC电容
002975,33,MLCC电容
002859,33,MLCC电容
605376,17,MLCC电容|材料
300285,33,MLCC电容
301566,33,MLCC电容
002484,33,MLCC电容
300408,33,MLCC电容
300776,33,玻璃基板
603773,17,玻璃基板
300433,33,玻璃基板
000725,33,玻璃基板
688127,17,玻璃基板
301200,33,玻璃基板
000100,33,玻璃基板
301338,33,玻璃基板
600707,17,玻璃基板
688012,17,长江上下游|长鑫上下游|半导体设备
002371,33,长江上下游|长鑫上下游|半导体设备
301308,33,长江上下游|存储及周边
002654,33,长江上下游
688072,17,长江上下游|长鑫上下游|半导体设备
603986,17,长鑫上下游|存储及周边
688783,17,长鑫上下游|材料
688008,17,存储及周边|三星海力合作
688233,17,存储及周边|AI推荐
300398,33,存储及周边|材料
300223,33,存储及周边
001309,33,存储及周边
688449,17,存储及周边
301666,33,存储及周边
688809,17,存储及周边
688416,17,存储及周边
688123,17,存储及周边|AI推荐
688766,17,存储及周边
688525,17,存储及周边
688041,17,昇腾链
688256,17,昇腾链
300394,33,光模块
301205,33,光模块
301183,33,光模块
300620,33,光模块
688048,17,光模块
688807,17,光模块
688167,17,光模块
688313,17,光模块
603083,17,光模块
688195,17,光模块
002428,33,光模块
688498,17,光模块
300502,33,光模块
300308,33,光模块
002281,33,光模块
688627,17,半导体设备
688037,17,半导体设备
300604,33,半导体设备
688361,17,半导体设备
603690,17,半导体设备
688147,17,半导体设备
688082,17,半导体设备
688630,17,半导体设备|AI推荐
300757,33,半导体设备
688120,17,半导体设备
002837,33,液冷
300499,33,液冷
002536,33,液冷
603757,17,液冷
301018,33,液冷
300727,33,液冷
300037,33,液冷
603650,17,液冷|材料
301086,33,液冷
600160,17,液冷
300442,33,算力租赁
600589,17,算力租赁
001339,33,算力租赁
603881,17,算力租赁
603629,17,算力租赁
603019,17,算力租赁
002335,33,算力租赁
002261,33,算力租赁
300738,33,算力租赁
000815,33,算力租赁
605358,17,材料
688432,17,材料
600438,17,材料
600641,17,材料
003026,33,材料
688126,17,材料
688303,17,材料
688234,17,材料
600206,17,材料
300475,33,三星海力合作
600667,17,三星海力合作
300142,33,医药创新药
688136,17,医药创新药
688091,17,医药创新药
688443,17,医药创新药
688192,17,医药创新药
688180,17,医药创新药
688278,17,医药创新药
688506,17,医药创新药
688331,17,医药创新药
600276,17,医药创新药
301000,33,人形机器人
688507,17,人形机器人
688017,17,人形机器人
002139,33,人形机器人
600143,17,人形机器人
300115,33,人形机器人
601318,17,券商银行
601211,17,券商银行
600030,17,券商银行
600999,17,券商银行
601688,17,券商银行
300059,33,券商银行
002736,33,券商银行
688798,17,AI推荐
600353,17,AI推荐
688800,17,AI推荐
688049,17,AI推荐
002594,33,汽车
002851,33,电源
300870,33,电源
688052,17,电源
688536,17,电源
300661,33,电源
300814,33,电源
300593,33,电源
