生成时间: 20260618_094748
来源文件: 分板块股票代码_UTF8.txt
原代码行数: 229
去重数量: 177
格式: 股票代码 公司名称

33:000962 东方钽业
17:603678 火炬电子
33:002138 顺络电子
33:300726 宏达电子
33:000733 振华科技
33:300054 鼎龙股份
17:603186 华正新材
17:688535 华海诚科
33:300666 江丰电子
17:688019 安集科技
17:603256 宏和科技
17:688519 南亚新材
17:600183 生益科技
33:002436 兴森科技
33:002916 深南电路
33:300236 上海新阳
17:688300 联瑞新材
33:301217 铜冠铜箔
17:605589 圣泉集团
17:601208 东材科技
33:300395 菲利华
17:600584 长电科技
33:000021 深科技
17:688401 路维光电
33:002156 通富微电
17:688362 甬矽电子
33:002185 华天科技
17:688820 盛合晶微
33:002409 雅克科技
17:603283 赛腾股份
17:688733 壹石通
33:300476 胜宏科技
33:002938 鹏鼎控股
33:002384 东山精密
17:603002 宏昌电子
17:600601 方正科技
17:603688 石英股份
33:002080 中材科技
33:300196 长海股份
33:300739 明阳电路
33:002463 沪电股份
17:603228 景旺电子
17:688183 生益电子
33:000636 风华高科
17:688260 昀冢科技
33:300806 斯迪克
33:002975 博杰股份
33:002859 洁美科技
17:605376 博迁新材
33:300285 国瓷材料
33:301566 达利凯普
33:002484 江海股份
33:300408 三环集团
33:300776 帝尔激光
17:603773 沃格光电
33:300433 蓝思科技
-105:920438 戈碧迦
33:000725 京东方Ａ
17:688127 蓝特光学
33:301200 大族数控
33:000100 TCL科技
33:301338 凯格精机
17:600707 彩虹股份
17:688012 中微公司
33:002371 北方华创
33:301308 江波龙
33:002654 万润科技
17:688072 拓荆科技
17:603986 兆易创新
17:688783 西安奕材-U
17:688008 澜起科技
17:688233 神工股份
33:300398 飞凯材料
33:300223 北京君正
33:001309 德明利
17:688449 联芸科技
33:301666 大普微-UW
17:688809 强一股份
17:688416 恒烁股份
17:688123 聚辰股份
17:688766 普冉股份
17:688525 佰维存储
17:688041 海光信息
17:688256 寒武纪
33:300394 天孚通信
33:301205 联特科技
33:301183 东田微
33:300620 光库科技
17:688048 长光华芯
17:688807 优迅股份
17:688167 炬光科技
17:688313 仕佳光子
17:603083 剑桥科技
17:688195 腾景科技
33:002428 云南锗业
17:688498 源杰科技
33:300502 新易盛
33:300308 中际旭创
33:002281 光迅科技
17:688627 精智达
17:688037 芯源微
33:300604 长川科技
17:688361 中科飞测
17:603690 至纯科技
17:688147 微导纳米
17:688082 盛美上海
17:688630 芯碁微装
33:300757 罗博特科
17:688120 华海清科
33:002837 英维克
33:300499 高澜股份
33:002536 飞龙股份
17:603757 大元泵业
33:301018 申菱环境
33:300727 润禾材料
33:300037 新宙邦
17:603650 彤程新材
33:301086 鸿富瀚
17:600160 巨化股份
33:300442 润泽科技
17:600589 大位科技
33:001339 智微智能
17:603881 数据港
17:603629 利通电子
17:603019 中科曙光
33:002335 科华数据
33:002261 拓维信息
33:300738 奥飞数据
33:000815 美利云
17:605358 立昂微
17:688432 有研硅
17:600438 通威股份
17:600641 先导基电
33:003026 中晶科技
17:688126 沪硅产业
17:688303 大全能源
-79:HK2726 瀚天天成
38:299741 未查到
17:688234 天岳先进
17:600206 有研新材
33:300475 香农芯创
17:600667 太极实业
33:300142 沃森生物
17:688136 科兴制药
17:688091 上海谊众
17:688443 智翔金泰-U
17:688192 迪哲医药-U
17:688180 君实生物-U
17:688278 特宝生物
17:688506 百利天恒
17:688331 荣昌生物
17:600276 恒瑞医药
33:301000 肇民科技
17:688507 索辰科技
17:688017 绿的谐波
33:002139 拓邦股份
17:600143 金发科技
33:300115 长盈精密
17:601318 中国平安
17:601211 国泰海通
17:600030 中信证券
17:600999 招商证券
17:601688 华泰证券
33:300059 东方财富
33:002736 国信证券
17:688798 艾为电子
17:600353 旭光电子
17:688800 瑞可达
17:688049 炬芯科技
33:002594 比亚迪
33:002851 麦格米特
33:300870 欧陆通
17:688052 纳芯微
17:688536 思瑞浦
33:300661 圣邦股份
33:300814 中富电路
33:300593 新雷能
