生成时间: 20260618_094829
来源文件: 我的自选_183_UTF8.txt
原代码行数: 183
去重数量: 183
格式: 股票代码 公司名称

33:000636 风华高科
17:688535 华海诚科
33:000021 深科技
17:688260 昀冢科技
17:605376 博迁新材
17:603186 华正新材
33:300398 飞凯材料
33:000962 东方钽业
33:002138 顺络电子
33:300726 宏达电子
33:000733 振华科技
33:300806 斯迪克
33:002975 博杰股份
33:002859 洁美科技
33:300285 国瓷材料
17:688627 精智达
17:688037 芯源微
33:002916 深南电路
17:688519 南亚新材
17:600584 长电科技
33:002409 雅克科技
33:300054 鼎龙股份
33:300476 胜宏科技
17:688372 伟测科技
17:603986 兆易创新
17:688008 澜起科技
-105:920438 戈碧迦
33:002156 通富微电
33:300727 润禾材料
33:002938 鹏鼎控股
17:688362 甬矽电子
33:300308 中际旭创
33:002654 万润科技
17:688507 索辰科技
17:688733 壹石通
17:603283 赛腾股份
17:688401 路维光电
17:688721 龙图光罩
17:688797 臻宝科技
33:301161 唯万密封
17:688233 神工股份
17:688072 拓荆科技
33:001309 德明利
33:301566 达利凯普
17:688449 联芸科技
33:301666 大普微-UW
17:688135 利扬芯片
33:002418 康盛股份
17:688593 新相微
17:688655 迅捷兴
33:300502 新易盛
33:000938 紫光股份
17:600570 恒生电子
33:001389 广合科技
33:000725 京东方Ａ
17:603002 宏昌电子
33:002484 江海股份
17:603678 火炬电子
33:300408 三环集团
17:688766 普冉股份
33:002335 科华数据
17:600487 亨通光电
17:688123 聚辰股份
17:600601 方正科技
33:000988 华工科技
17:688798 艾为电子
17:600353 旭光电子
17:603773 沃格光电
17:600884 杉杉股份
33:000815 美利云
33:300037 新宙邦
17:688347 华虹宏力
17:688234 天岳先进
17:688820 盛合晶微
33:002625 光启技术
33:301205 联特科技
33:003019 宸展光电
17:688398 赛特新材
17:688630 芯碁微装
17:688256 寒武纪
33:002384 东山精密
17:603260 合盛硅业
17:688213 思特威-W
33:300811 铂科新材
33:300655 晶瑞电材
17:688049 炬芯科技
17:688603 天承科技
33:301200 大族数控
33:000100 TCL科技
33:300776 帝尔激光
33:300499 高澜股份
17:600183 生益科技
33:002837 英维克
33:301183 东田微
33:002222 福晶科技
33:301217 铜冠铜箔
33:002149 西部材料
33:300814 中富电路
33:300593 新雷能
33:301086 鸿富瀚
33:300870 欧陆通
17:603688 石英股份
33:300395 菲利华
17:688525 佰维存储
33:300274 阳光电源
17:601138 工业富联
17:605589 圣泉集团
17:603019 中科曙光
33:002594 比亚迪
17:603629 利通电子
17:603444 吉比特
33:301589 诺瓦星云
17:603083 剑桥科技
33:002008 大族激光
33:002475 立讯精密
17:600707 彩虹股份
17:688205 德科立
17:688167 炬光科技
17:600330 天通股份
17:688807 优迅股份
17:603256 宏和科技
33:300042 朗科科技
17:688095 福昕软件
17:688111 金山办公
33:002428 云南锗业
33:002281 光迅科技
17:688313 仕佳光子
17:688498 源杰科技
17:688048 长光华芯
33:300223 北京君正
17:688981 中芯国际
33:301308 江波龙
17:688082 盛美上海
33:300433 蓝思科技
33:002549 凯美特气
33:000977 浪潮信息
33:300383 光环新网
33:300166 东方国信
33:002015 协鑫能科
17:600821 金开新能
17:688027 国盾量子
33:002851 麦格米特
33:002179 中航光电
17:688147 微导纳米
33:002129 TCL中环
17:688303 大全能源
33:003026 中晶科技
17:688783 西安奕材-U
17:688432 有研硅
17:688001 华兴源创
17:688383 新益昌
17:688200 华峰测控
17:688361 中科飞测
17:600641 先导基电
17:603690 至纯科技
17:600667 太极实业
33:300236 上海新阳
17:688720 艾森股份
17:688106 金宏气体
17:688662 富信科技
17:603306 华懋科技
33:300456 赛微电子
33:300570 太辰光
33:300442 润泽科技
17:601208 东材科技
17:688300 联瑞新材
33:002436 兴森科技
17:688120 华海清科
17:688195 腾景科技
33:300757 罗博特科
33:002261 拓维信息
33:002969 嘉美包装
17:688416 恒烁股份
33:002230 科大讯飞
17:605358 立昂微
17:600460 士兰微
33:002185 华天科技
33:300394 天孚通信
17:600703 三安光电
17:600206 有研新材
17:600118 中国卫星
33:300666 江丰电子
17:688019 安集科技
